config,dataset,mean_cache_hit_rate,median_distinct_instantiations,max_node_count,peak_memory_mb
C2,ALTERNATION,0.0,9152.0,200000,50.48046875
C2,DRINKER,0.0,2.0,13,46.2109375
C2,HOU,0.0,1.0,200000,49.93359375
C2,ILTP,0.0002325195150307258,194984.0,200000,45.03125
C2,INVALID_OPEN,0.0,15690.5,200000,47.68359375
C2,PELLETIER,0.014604646637110079,594.0,200000,49.94140625
C2,PHP,0.33861847121246746,0.0,200000,57.84765625
C4,ALTERNATION,0.0,399.0,200000,50.625
C4,DRINKER,0.0,2.0,13,46.2109375
C4,HOU,0.0,1.0,841,49.00390625
C4,ILTP,0.0002325195150307258,108411.0,200000,44.55859375
C4,INVALID_OPEN,0.0,15776.5,110585,47.9296875
C4,PELLETIER,0.014559058337975392,594.0,200000,49.91796875
C4,PHP,0.33861847121246746,0.0,200000,55.40625
